AK	0.425589
AL	0.382437
AR	0.546762
AZ	0.445127
CA	0.601910
CO	0.567697
CT	0.569493
DC	0.923914
DE	0.657506
FL	0.496451
GA	0.458007
HI	0.686636
IA	0.512321
ID	0.342749
IL	0.595608
IN	0.468770
KS	0.368471
KY	0.446770
LA	0.415573
MA	0.603872
MD	0.631979
ME	0.471071
MI	0.569523
MN	0.559862
MO	0.525180
MS	0.414842
MT	0.558066
NC	0.491803
ND	0.369482
NE	0.391103
NH	0.552932
NJ	0.549723
NM	0.552847
NV	0.515960
NY	0.666800
OH	0.500273
OK	0.351827
OR	0.553679
PA	0.520008
RI	0.640472
SC	0.428632
SD	0.408311
TN	0.364306
TX	0.430222
UT	0.294166
VA	0.538564
VT	0.558679
WA	0.557574
WI	0.512568
WV	0.549936
WY	0.270370
