bean	13.0	nan
beans	14.0	nan
bear	9.0	nan
beat	13.0	nan
beats	13.0	nan
beautiful	15.0	nan
beautifully	15.0	nan
beauty	15.0	nan
bed	9.0	nan
bee	12.0	nan
beef	4.0	nan
been	13.0	nan
beer	8.0	nan
beers	7.0	nan
beet	12.0	nan
beets	12.0	nan
begin	12.0	nan
beginning	12.0	nan
begins	12.0	nan
beijing	10.0	nan
being	16.0	nan
believe	13.0	nan
bell	12.0	7.0
bellagio	13.0	14.0
benedict	9.0	nan
benefits	11.0	nan
bento	14.0	16.0
berger	10.0	9.0
berkeley	12.0	13.0
berries	16.0	nan
berry	16.0	nan
beside	8.0	nan
best	15.0	nan
bet	12.0	nan
better	15.0	15.0
between	10.0	nan
beverly	10.0	nan
bfast	16.0	nan
bibb	6.0	nan
bible	12.0	nan
bien	15.0	nan
big	12.0	15.0
bigger	8.0	nan
biggest	14.0	nan
bill	10.0	9.0
bing	12.0	nan
bird	14.0	14.0
birthday	8.0	nan
biscotti	9.0	nan
biscuit	9.0	nan
biscuits	9.0	nan
bish	10.0	nan
bisque	12.0	nan
bites	13.0	nan
biting	13.0	nan
black	15.0	nan
blackberries	15.0	nan
blackberry	15.0	nan
blackened	10.0	nan
blast	14.0	nan
blazin	9.0	nan
blazing	10.0	nan
blessed	15.0	nan
bliss	12.0	nan
blogged	10.0	nan
blood	12.0	nan
blood-sugar	12.0	nan
bloody	12.0	nan
blt	11.0	nan
blue	11.0	nan
blueberries	16.0	nan
bluefish	10.0	nan
blues	11.0	nan
board	10.0	nan
boast	8.0	nan
bob	16.0	16.0
bobby	12.0	12.0
body	16.0	16.0
bok	14.0	nan
bold	13.0	nan
bologna	7.0	nan
bomb	9.0	nan
bombay	14.0	14.0
bon	16.0	nan
bonding	4.0	nan
boneless	13.0	nan
bonito	6.0	nan
bonus	15.0	nan
boom	9.0	nan
boost	15.0	16.0
booze	10.0	nan
boqueria	9.0	nan
bosses	11.0	nan
bottle	14.0	nan
bottles	14.0	nan
bottomless	7.0	nan
bourbon	10.0	14.0
bowl	13.0	nan
bowls	13.0	nan
box	11.0	nan
boy	12.0	nan
boys	12.0	nan
braids	10.0	nan
brain	14.0	14.0
bran	14.0	nan
brand	11.0	nan
brats	6.0	nan
brb	7.0	nan
bread	14.0	nan
breaded	11.0	nan
breads	12.0	nan
break	14.0	nan
breakfast	13.0	nan
breakfasts	14.0	nan
breaking	11.0	nan
breaktime	8.0	nan
breasts	13.0	nan
breath	8.0	8.0
breeze	14.0	nan
bretzel	7.0	nan
brew	10.0	nan
brewing	10.0	nan
bri	10.0	nan
brick	10.0	nan
brickell	6.0	nan
brie	10.0	nan
bright	10.0	10.0
brightening	14.0	nan
brioche	6.0	8.0
brisket	12.0	nan
brittle	9.0	nan
broadway	7.0	6.0
broccoli	14.0	nan
broiled	10.0	nan
broiler	7.0	nan
broken	9.0	nan
bronto	9.0	nan
brooke	10.0	nan
brooklyn	10.0	nan
bros	12.0	nan
broth	10.0	nan
brown	14.0	nan
brownie	10.0	nan
brownies	10.0	nan
browns	14.0	nan
brunch	8.0	nan
brunching	8.0	nan
bruschetta	14.0	nan
brussel	16.0	nan
bubblews	9.0	nan
bucks	8.0	nan
buddies	11.0	nan
buddy	11.0	15.0
buds	9.0	nan
buffalo	10.0	nan
buffs	7.0	nan
build	13.0	nan
building	13.0	nan
bullet	7.0	nan
bundt	8.0	nan
buns	12.0	nan
burger	11.0	1.0
burgers	12.0	nan
burner	11.0	nan
burnt	8.0	10.0
burritos	11.0	nan
business	8.0	nan
busters	10.0	nan
busy	8.0	nan
butt	5.0	nan
butter	13.0	nan
buttered	13.0	nan
buttermilk	12.0	nan
butternut	16.0	16.0
butterscotch	9.0	nan
butthole	14.0	nan
buys	8.0	nan
cabana	10.0	nan
cabbage	16.0	nan
cafe	14.0	nan
cajun	11.0	nan
cajun-style	13.0	nan
cake	11.0	nan
cakes	11.0	nan
calamari	8.0	nan
caldo	9.0	nan
caliente	10.0	nan
california	15.0	nan
call	10.0	nan
calle	10.0	nan
called	10.0	nan
calling	10.0	nan
calls	10.0	nan
calories	15.0	nan
calzone	10.0	nan
calzones	10.0	nan
camino	9.0	9.0
camping	12.0	nan
can	8.0	nan
canceled	8.0	nan
candlelight	15.0	nan
candy	9.0	nan
cane	9.0	nan
cannoli	8.0	nan
cant	12.0	nan
cantina	10.0	nan
cape	12.0	11.0
capicola	5.0	nan
caprese	10.0	nan
car	9.0	13.0
caramel	11.0	nan
caramelized	11.0	nan
carb	12.0	nan
carbonara	10.0	nan
carbs	15.0	14.0
card	6.0	nan
care	13.0	11.0
caribou	13.0	13.0
carl	13.0	13.0
carne	14.0	nan
carnival	10.0	nan
carrabba	10.0	10.0
carribean	10.0	nan
carried	10.0	nan
carrington	8.0	8.0
carrot	16.0	nan
carrots	13.0	nan
case	6.0	nan
casero	9.0	nan
cash	10.0	nan
casserole	13.0	15.0
castle	9.0	10.0
casual	12.0	nan
casually	12.0	nan
cat	8.0	10.0
catch	9.0	nan
catching	9.0	nan
categories	15.0	nan
catered	5.0	nan
catering	5.0	nan
catfish	8.0	nan
catfished	8.0	nan
cats	8.0	nan
cattle	10.0	nan
caught	9.0	nan
cauliflower	16.0	nan
cecconi	16.0	nan
celeb	14.0	nan
celebration	10.0	nan
celebrities	10.0	nan
celery	16.0	nan
cell	11.0	nan
cellar	8.0	nan
cena	14.0	nan
cenando	5.0	nan
cenita	10.0	nan
central	14.0	13.0
cereal	15.0	nan
cereals	15.0	nan
certificates	16.0	nan
certs	8.0	8.0
ceviche	4.0	nan
chai	13.0	nan
challenge	8.0	8.0
champagne	9.0	nan
champions	16.0	nan
champs	7.0	nan
chance	8.0	8.0
change	16.0	nan
changing	16.0	nan
chanterelles	14.0	nan
character	4.0	nan
charbroiled	9.0	nan
charles	8.0	9.0
charleston	8.0	8.0
check	9.0	nan
checking	9.0	nan
checkout	11.0	nan
cheering	14.0	nan
cheers	14.0	nan
cheese	7.0	nan
cheeseburger	11.0	nan
cheeseburgers	9.0	nan
cheesecake	8.0	nan
cheesesteak	9.0	nan
cheesiest	8.0	nan
cheesin	9.0	nan
cheesy	9.0	nan
cheetos	11.0	13.0
cheez	9.0	nan
cheez-its	10.0	nan
chef	10.0	12.0
cheri	7.0	nan
cherry	15.0	nan
chesapeake	10.0	10.0
chesse	10.0	nan
chestnut	14.0	nan
chewable	12.0	nan
chewing	10.0	nan
chex	16.0	16.0
chez	8.0	8.0
chicagos	13.0	nan
chicharron	4.0	6.0
chichi	14.0	nan
chick	15.0	15.0
chick-fil-a	14.0	14.0
chicken	14.0	nan
chicken-apple	7.0	nan
chickfila	14.0	nan
chickpea	14.0	13.0
chickpeas	14.0	nan
chicks	15.0	nan
chiefs	8.0	nan
chiken	8.0	nan
chilaquiles	12.0	nan
child	12.0	nan
chile	16.0	16.0
chilean	9.0	nan
chili	13.0	nan
chilis	13.0	nan
chill	12.0	nan
chilled	12.0	nan
chilli	12.0	nan
chillin	12.0	nan
chilly	11.0	nan
chimichangas	9.0	nan
chin	8.0	9.0
china	11.0	12.0
chinese	11.0	nan
chip	12.0	nan
chipotle	14.0	16.0
chipped	12.0	nan
chips	10.0	nan
chix	11.0	nan
chocolate	11.0	nan
chocolates	13.0	nan
choice	14.0	nan
choki	8.0	nan
cholesterol	12.0	nan
choose	12.0	nan
choosing	12.0	nan
chop	15.0	nan
chopped	15.0	nan
chops	15.0	nan
chow	11.0	nan
choy	16.0	nan
chrisboyd30	9.0	nan
christiemissy	9.0	nan
chugging	12.0	nan
chunk	11.0	nan
chunks	11.0	nan
church	14.0	14.0
churches	14.0	nan
chutney	12.0	nan
ciao	16.0	16.0
cibo	10.0	10.0
cider	12.0	nan
cinnamon	12.0	nan
citrus	15.0	16.0
city	15.0	nan
claire	7.0	nan
clam	13.0	nan
clamato	10.0	10.0
clams	13.0	nan
clark	10.0	12.0
classic	14.0	nan
classmate	10.0	nan
classy	9.0	9.0
clean	16.0	nan
cleaning	16.0	nan
cleanse	12.0	nan
clearvizion7	9.0	nan
clementine	13.0	nan
cleoanthony	12.0	nan
clever	16.0	nan
cliff	14.0	nan
clinic	9.0	nan
clock	14.0	nan
close	10.0	nan
closed	10.0	nan
clouds	8.0	nan
club	11.0	nan
coaches	10.0	nan
